brand	condition	link	title	description	expiration_date	price	image_link	product_type	id
		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=92	The September Sessions Spezial Edition DVD	Die Special Edition jetzt mit DVD und dem legend&auml;ren SOUNDTRACK! &quot;Da muss ich auch hin&quot; ist der erste Gedanke, wenn man dieses in Sumatra gedrehte DVD sieht. Hinzu kommen sechs Surfer, die so richtig wissen, was sie tun: Ross Williams, Brad Gerlach, Shane Dorian, Rob Machado, Luke Egan und nat&uuml;rlich Kelly Slater.&nbsp;   &nbsp;  Alle rippen was das Zeug h&auml;lt und das auch noch in perfekten Wellen: Rob beim Bodyboarden, Kelly`s Flips. Jack Johnson (!), welcher selbst Surfer und Musiker ist unterlegt die Szenen mit seinen sommerlichen Kl&auml;ngen. Absoluter Klassiker neben Shelter und Thicker than Water.&nbsp;   Produzent: Jack Johnson  Land: USA  Jahr: 1999  Laufzeit: 30 Minuten  Format: NTSC DVD  Sprache: Englisch  &nbsp;  &nbsp;	2008-10-25	35.60	http://www.hillsurf.ch/images/the-september-sessions-spec.jpg	Surf DVD	92 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=93	NS Logo Shirt SS ´08	NS Logo Shirt SS &acute;08	2008-10-25	29.01	http://www.hillsurf.ch/images/08-NS-Logo-Shirt-SS-front.gif	Surf Fashion, North Sails	93 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=95	NS Logo Shirt LS ´08	NS Logo Shirt LS &acute;08	2008-10-25	35.66	http://www.hillsurf.ch/images/08-NS-Logo-Shirt-LS-front.gif	Surf Fashion, North Sails	95 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=96	NS Logo Girly Shirt SS ´08	NS Logo Girly Shirt SS &acute;08	2008-10-25	29.01	http://www.hillsurf.ch/images/08-NS-Logo-Girly-Shirt-SS-front.gif	Surf Fashion, North Sails	96 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=97	NS Polo ´08	NS Polo &acute;08	2008-10-25	41.10	http://www.hillsurf.ch/images/08-NS-Polo-front.gif	Surf Fashion, North Sails	97 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=98	NS Team Jacket ´0	NS Team Jacket &acute;0	2008-10-25	107.58	http://www.hillsurf.ch/images/08-NS-Team-Jacket-front.gif	Surf Fashion, North Sails	98 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=99	NS Retro Jacket ´08	NS Retro Jacket &acute;08	2008-10-25	101.54	http://www.hillsurf.ch/images/08-NS-Retro-Jacket-front.gif	Surf Fashion, North Sails	99 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=100	NS Hooded Sweat Logo ´08	NS Hooded Sweat Logo &acute;08	2008-10-25	101.54	http://www.hillsurf.ch/images/08-NS-Hooded-Sweat-Logo-back.gif	Surf Fashion, North Sails	100 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=101	NS Beanie ´08	NS Beanie &acute;08	2008-10-25	29.01	http://www.hillsurf.ch/images/08 NS Beanie.jpg	Surf Fashion, North Sails	101 
North Sails		http://www.hillsurf.ch/product_info.php?currency=EUR&products_id=102	NS Army Cap ´08	NS Army Cap &acute;08	2008-10-25	22.97	http://www.hillsurf.ch/images/08-NS-Army-Cap.gif	Surf Fashion, North Sails	102 
